Name,Category,Province,Description
Haputale Railway Station,Unique Experience,Uva,Scenic train stop with mountain views
Demodara Loop,Unique Experience,Uva,Spiral railway track and bridge
Ritigala Strict Nature Reserve,Nature & Wildlife,North Central,Ancient forest monastery and biodiversity hotspot
Aukana Buddha Statue,Cultural,North Central,Ancient standing Buddha statue carved from granite
Munneswaram Temple,Cultural,North Western,Historic Hindu temple complex
Delft Island,Nature & Wildlife,Northern,Remote island with wild horses and Dutch ruins
Mannar Island,Nature & Wildlife,Northern,Island with baobab trees and birdlife
Kataragama Temple,Cultural,Southern,Multi-religious pilgrimage site
Buduruwagala Rock Carvings,Cultural,Uva,Ancient Buddhist rock carvings
Belilena Cave,Nature & Wildlife,Sabaragamuwa,Prehistoric cave with archaeological significance
Hanthana Mountain Range,Nature & Wildlife,Central,Popular hiking destination near Kandy
Meemure Village,Unique Experience,Central,Remote traditional village in the Knuckles Range
Madulsima Mini World's End,Nature & Wildlife,Uva,Cliff with panoramic views
Pettah Floating Market,Urban,Western,Market on Beira Lake in Colombo
Vavuniya Archaeological Museum,Cultural,Northern,Museum with regional artifacts
Batticaloa Lighthouse,Urban,Eastern,Historic lighthouse with lagoon views
Nilaveli Diving Centre,Unique Experience,Eastern,Scuba diving and snorkeling tours
Kithulgala Adventure Camp,Unique Experience,Sabaragamuwa,White water rafting and adventure sports
Hummanaya Blowhole,Nature & Wildlife,Southern,Second largest blowhole in the world
Mulkirigala Rock Monastery,Cultural,Southern,Ancient rock temple with cave paintings
Rambukkana Elephant Orphanage,Nature & Wildlife,Sabaragamuwa,Elephant care and conservation center
Diyatha Uyana Park,Urban,Western,Urban park with walking paths and food stalls
Chilaw Sand Dunes,Nature & Wildlife,North Western,Unique coastal sand dunes
Jungle Beach,Beach,Southern,Secluded beach near Unawatuna with clear waters
Marble Beach,Beach,Eastern,Beautiful white sand beach near Trincomalee
Uppuveli Beach,Beach,Eastern,Popular beach for swimming and relaxation
Talalla Beach,Beach,Southern,Quiet crescent-shaped beach ideal for yoga and surfing
Hiriketiya Beach,Beach,Southern,Trendy surf beach with a laid-back vibe
Polhena Beach,Beach,Southern,Calm waters and coral reefs for snorkeling
Mirissa Beach,Beach,Southern,Famous for whale watching and vibrant nightlife
Nilwella Beach,Beach,Southern,Peaceful beach with local fishing boats
Beruwala Beach,Beach,Western,Long sandy beach with resorts and water sports
Negombo Beach,Beach,Western,Popular beach close to the airport with many hotels
Mount Lavinia Beach,Beach,Western,Urban beach with colonial hotel and sunset views
Wadduwa Beach,Beach,Western,Quiet beach with palm trees and resorts
Arugam Bay,Beach,Eastern,World-class surfing destination with lively beach bars
Rhythm & Blues Nightclub,Nightclub,Western,Popular Colombo nightclub with live music and DJs
Disques Nightclub,Nightclub,Western,Trendy club in Colombo with international DJs
Silk Club,Nightclub,Western,Upscale nightclub in Colombo
Amuseum Nightclub,Nightclub,Western,Modern club with themed parties in Colombo
Kama Colombo,Nightclub,Western,Stylish nightclub and lounge in Colombo
Shaka Beach Club,Nightclub,Southern,Beachfront club in Mirissa with parties and music
The Love Bar,Nightclub,Western,Trendy bar and club in Colombo
The Chiller Room,Nightclub,Western,Popular club in Negombo
The Gallery Café,Cafe,Western,Iconic Colombo café in a former architect's studio
Barefoot Garden Café,Cafe,Western,Relaxed café with garden seating and live jazz in Colombo
Café Kumbuk,Cafe,Western,Trendy health-focused café in Colombo
Café Chill,Cafe,Uva,Popular backpacker café in Ella
The Coffee Shop at Galle Face Hotel,Cafe,Western,Historic hotel café with ocean views
Pedlar's Inn Café,Cafe,Southern,Charming café in Galle Fort
Café Aroma Inn,Cafe,Southern,Popular café in Galle Fort
Café Ceylon,Cafe,Southern,Beachside café in Ahangama
The Hangout Mirissa,Cafe,Southern,Beachfront café and bar in Mirissa
Café on the Fifth,Cafe,Western,Modern café in Colombo
Black Cat Café,Cafe,Western,Cozy café and guesthouse in Colombo
VIBE Café,Cafe,Southern,Trendy vegan-friendly café in Weligama
Pettah Market,Market,Western,Colombo's bustling open-air market for textiles, electronics, and spices
Good Market,Market,Western,Weekly organic and artisan market in Colombo
Kandy Central Market,Market,Central,Indoor market for local produce, crafts, and souvenirs
Galle Fort Market,Market,Southern,Artisan and souvenir market inside Galle Fort
Negombo Fish Market,Market,Western,Traditional fish market on the Negombo lagoon
Dambulla Dedicated Economic Centre,Market,Central,Large wholesale market for fruits and vegetables
Mannar Market,Market,Northern,Local market for dried fish and regional produce
Jaffna Market,Market,Northern,Colorful market for spices, vegetables, and local goods
Batticaloa Market,Market,Eastern,Traditional market for seafood and local produce
Nuwara Eliya Market,Market,Central,Fresh produce and flower market in the hill country
Matara Market,Market,Southern,Busy market for local foods and crafts
Kurunegala Market,Market,North Western,Regional market for agricultural products
Trincomalee Market,Market,Eastern,Local market for seafood and spices
Wellawatta Market,Market,Western,Popular market for textiles and household goods in Colombo
Aluthgama Market,Market,Western,Weekly market for local produce and crafts
